month,mfr_name,maketxt,modeltxt,yeartxt,topic_id,topic_label,component_groups,complaints,unique_states,max_component_watchlist_score,avg_topic_strength,severity_broad_rate,critical_event_near_operation_rate,highway_rate,high_speed_rate,best_signal_tier
2026-02-01,TOYOTA MOTOR CORPORATION,TOYOTA,HIGHLANDER,2018,6,Transmission shifting / gear engagement issue,POWER TRAIN,4,3,4.732884380953326,0.5978237699290117,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"BMW OF NORTH AMERICA, LLC",BMW,230I,2017,19,Tire / suspension / frame rust mixed issue,TIRES,4,1,4.709657443471337,0.8859327460167447,0.0,0.0,0.5,0.5,Early signal
2026-02-01,FORD MOTOR COMPANY,LINCOLN,MKC,2019,16,Coolant leak / cylinder intrusion / overheating issue,ENGINE / COOLING,4,2,4.655706646639018,0.6963765923091021,0.0,0.0,0.0,0.0,Early signal
2026-02-01,HONDA (AMERICAN HONDA MOTOR CO.),ACURA,RDX,2019,8,Windshield / glass cracking issue,VISIBILITY / WIPER,3,3,3.91480922158707,0.34819808194639856,0.0,0.0,0.0,0.0,Early signal
2026-02-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,17,Vehicle shutoff / stall while driving issue,STEERING,4,3,3.5171336480711135,0.34265900253083703,0.0,0.0,0.0,0.0,Early signal
2026-02-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,17,Vehicle shutoff / stall while driving issue,ELECTRICAL SYSTEM,3,3,3.4672949982491694,0.417191503163743,0.0,0.0,0.0,0.0,Early signal
2026-02-01,"GENERAL MOTORS, LLC",CHEVROLET,MALIBU,2022,2,Check engine light / engine fault complaints,ENGINE / COOLING,3,3,2.5152097146435417,0.5099585354555494,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2024,15,Oil consumption / low oil issue,ENGINE / COOLING,7,7,16.962095533398294,0.4653960391927762,0.0,0.0,0.2857142857142857,0.2857142857142857,Moderate signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,TAHOE,2023,15,Oil consumption / low oil issue,ENGINE / COOLING,6,6,15.987881159173336,0.4031432457128064,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,Moderate signal
2026-01-01,MAZDA MOTOR CORP.,MAZDA,CX-90,2024,10,Steering wheel binding / difficult turning issue,STEERING,9,8,15.796924596660112,0.5257160051723379,0.0,0.0,0.3333333333333333,0.4444444444444444,Moderate signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,2500,2017,4,Brake pedal / braking performance issue,SERVICE BRAKES,6,5,14.534153149567663,0.5867475993397608,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,Moderate signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2019,16,Coolant leak / cylinder intrusion / overheating issue,ENGINE / COOLING,7,5,14.124202979077578,0.3874674893219335,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,Moderate signal
2026-01-01,FORD MOTOR COMPANY,FORD,EDGE,2016,4,Brake pedal / braking performance issue,BACK OVER PREVENTION | SERVICE BRAKES,8,7,12.732790515844984,0.6875051648923123,0.125,0.0,0.0,0.0,Moderate signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,1500,2022,1,Electric power steering assist loss,STEERING,3,2,12.712305272284265,0.6341494169502743,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,Early signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,EQUINOX,2017,15,Oil consumption / low oil issue,ENGINE / COOLING,5,5,12.649423231180416,0.41210329630716125,0.0,0.4,0.4,0.4,Moderate signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,1500,2023,4,Brake pedal / braking performance issue,FORWARD COLLISION AVOIDANCE | SERVICE BRAKES,7,1,12.426794545593005,0.3566712879674721,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,1,Electric power steering assist loss,ELECTRICAL SYSTEM | POWER TRAIN,7,7,12.344446329519716,0.3088349716532415,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,Moderate signal
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,TUCSON,2016,15,Oil consumption / low oil issue,ENGINE / COOLING,8,7,12.157916891066822,0.5186593235285214,0.0,0.125,0.125,0.125,Moderate signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,CAMRY,2018,6,Transmission shifting / gear engagement issue,POWER TRAIN,6,6,11.85856095484917,0.5039289748122707,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,Moderate signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,HIGHLANDER,2019,6,Transmission shifting / gear engagement issue,ENGINE / COOLING | POWER TRAIN,17,13,11.492365570542564,0.4578262427055654,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,High-confidence signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,ACCORD,2024,10,Steering wheel binding / difficult turning issue,STEERING,4,3,11.44481566702372,0.4975550514942111,0.0,0.0,0.5,0.5,Early signal
2026-01-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2023,15,Oil consumption / low oil issue,ENGINE / COOLING | POWER TRAIN,6,6,11.261540206448714,0.46580643918004866,0.0,0.0,0.3333333333333333,0.3333333333333333,Moderate signal
